dataset,metric,value,calculation,evidence,status,source,note
audit_context,Product,TNPSC Mentors,,,,,
audit_context,Audit period start,14 Jun 2026,,,,,
audit_context,Audit period end,5 Sep 2026,,,,,
audit_context,Production snapshot,"5 Sep 2026, 19:01 IST (read-only SELECT)",,PROD,,,read-only SELECT
audit_context,Compiled,7 Sep 2026,,,,,
audit_context,Platform age (days),83,2026-06-14 to 2026-09-05,PROD,ACTUAL,,"83 days measured 2026-06-14 → 2026-09-05, the timestamped production snapshot. The acquisition-trend query extends slightly past that date; see the reconciliation note."
baseline,Registered users,682,,PROD,PRODUCTION VERIFIED,profiles — count(*),"Every account row ever created. No soft-delete column exists, so nothing is ever pruned. Includes staff accounts."
baseline,Started ≥1 test,345,,PROD,PRODUCTION VERIFIED,test_sessions — distinct user_id,50.6% of 682.
baseline,Completed ≥1 test,286,,PROD,PRODUCTION VERIFIED,test_sessions status='completed' — distinct user_id,41.9% of 682; 82.9% of the 345 who started.
baseline,Returned on a second day,16,,PROD,PRODUCTION VERIFIED,daily_activity — users with ≥2 distinct activity_date,"FLOOR, not a measurement — daily_activity is written only by test submission and current-affairs completion."
baseline,Checkout users,11,,PROD,PRODUCTION VERIFIED,payments — distinct user_id on created rows,Price-accepted purchase attempts: a created row is written server-side only after a confirmation dialog showing plan and final price.
baseline,Checkout attempts,20,,PROD,PRODUCTION VERIFIED,"payments status='created', never completed",20 abandoned attempts. Adding the 1 completed payment gives 21 total price-accepted attempts — see the payments reconciliation.
baseline,Genuine paying customers,1,,PROD,PRODUCTION VERIFIED,"payments — non-zero amount, status=paid","Founder-generated, not acquired. Externally-acquired paying customers = 0 (founder-confirmed)."
baseline,All-time revenue,₹899,,PROD,PRODUCTION VERIFIED,"payments — sum(amount) = 89,900 paise",Externally-generated revenue = ₹0.
baseline,Failed payments,0,,PROD,PRODUCTION VERIFIED,payments status='failed',Zero in 83 days. Razorpay integration is sound — this is not a payment-infrastructure problem.
baseline,Coupon redemptions,0,,PROD,PRODUCTION VERIFIED,payments — used_coupon across every plan,"The coupon and promoter system is fully built, including per-promoter tracking, and has never been used once."
baseline,Feedback responses,6,,PROD,PRODUCTION VERIFIED,app_feedback — count(*),0.88% of 682 users. All six are star ratings; none carries written text.
baseline_secondary,Active today,2,,PROD,PRODUCTION VERIFIED,,Identical under UTC and IST — the Stage 2 timezone bug is real in code but is not currently distorting this figure.
baseline_secondary,Active last 7 days,17,,PROD,PRODUCTION VERIFIED,,Identical under UTC and IST. 2.5% of 682.
baseline_secondary,Active last 30 days,135,,PROD,PRODUCTION VERIFIED,,19.8% of 682. The 30d→7d ratio is 12.6%.
baseline_secondary,Tests completed,462,,PROD,PRODUCTION VERIFIED,,"Terminal sessions, any score, any category."
baseline_secondary,Tests abandoned,161,,PROD,PRODUCTION VERIFIED,,Free practice engine ONLY. Paid formats structurally cannot produce this status.
baseline_secondary,Tests in progress,0,,PROD,PRODUCTION VERIFIED,,Dead schema — sessions are written already-final.
baseline_secondary,Questions in bank,"49,916",,PROD,PRODUCTION VERIFIED,,Unfiltered by the questions.active soft-hide flag the student sampler actually uses — overstates the live pool.
baseline_secondary,Average rating,4.33,,PROD,PRODUCTION VERIFIED,,n = 6. Not statistically meaningful.
baseline_secondary,Payment records = paid,4,,PROD,PRODUCTION VERIFIED,,3 staff comps at ₹0 + 1 founder-generated ₹899.
funnel,Visitors,DATA NOT AVAILABLE,,GAP,DATA NOT AVAILABLE,GA4/GTM only — no server-side pageview store exists,Top-of-funnel volume is unrecoverable for every historical period. The funnel below therefore starts at signup and has no true acquisition denominator.
funnel,Signup completed,682,100%,PROD,ACTUAL,profiles,Signup itself is confirmed working — verified end-to-end during the walkthrough and by the founder. Every loss below happens after a clean registration.
funnel,Started ≥1 test,345,50.6% of 682 | 50.6%,PROD,ACTUAL,test_sessions,The largest absolute loss in the funnel: 337 registered users never start a single test.
